objectid,parentid,title,description,type,format,display_template,object_location,image_small,image_thumb
dcb1,,"Indiana beer bottle, Joe Stein, Plymouth IN",no description,record,image/jpg,multiple,,/objects/small/1_1_sm.jpg,/objects/thumbs/1_1_th.jpg
,dcb1,,,,,,/objects/1_1.JPG,/objects/small/1_1_sm.jpg,/objects/thumbs/1_1_th.jpg
,dcb1,,,,,,/objects/1_2.JPG,/objects/small/1_2_sm.jpg,/objects/thumbs/1_2_th.jpg
dcb2,,"Indiana beer bottle Crescent Brewing Company,",Aurora IN,record,image/jpg,multiple,,/objects/small/2_1_sm.jpg,/objects/thumbs/2_1_th.jpg
,dcb2,,,,,,/objects/2_1.JPG,/objects/small/2_1_sm.jpg,/objects/thumbs/2_1_th.jpg
,dcb2,,,,,,/objects/2_2.JPG,/objects/small/2_2_sm.jpg,/objects/thumbs/2_2_th.jpg
dcb3,,Indiana ale bottle P. Frick & Co Evansville IN,no description,record,image/jpg,multiple,,/objects/small/3_1_sm.jpg,/objects/thumbs/3_1_th.jpg
,dcb3,,,,,,/objects/3_1.JPG,/objects/small/3_1_sm.jpg,/objects/thumbs/3_1_th.jpg
,dcb3,,,,,,/objects/3_2.JPG,/objects/small/3_2_sm.jpg,/objects/thumbs/3_2_th.jpg
dcb4,,Indiana beer bottle E. Abbott Hartford City IN,no description,record,image/jpg,multiple,,/objects/small/4_1_sm.jpg,/objects/thumbs/4_1_th.jpg
,dcb4,,,,,,/objects/4_1.JPG,/objects/small/4_1_sm.jpg,/objects/thumbs/4_1_th.jpg
,dcb4,,,,,,/objects/4_2.JPG,/objects/small/4_2_sm.jpg,/objects/thumbs/4_2_th.jpg
dcb5,,"Indiana soda bottle, Charles Bauer LaPorte IN,","blue, small chip to rim",record,image/jpg,multiple,,/objects/small/5_1_sm.jpg,/objects/thumbs/5_1_th.jpg
,dcb5,,,,,,/objects/5_1.JPG,/objects/small/5_1_sm.jpg,/objects/thumbs/5_1_th.jpg
,dcb5,,,,,,/objects/5_2.JPG,/objects/small/5_2_sm.jpg,/objects/thumbs/5_2_th.jpg
dcb6,,"Indiana soda bottle J. Cosgrove, Charleston, blue",no description,record,image/jpg,multiple,,/objects/small/6_1_sm.jpg,/objects/thumbs/6_1_th.jpg
,dcb6,,,,,,/objects/6_1.JPG,/objects/small/6_1_sm.jpg,/objects/thumbs/6_1_th.jpg
,dcb6,,,,,,/objects/6_2.JPG,/objects/small/6_2_sm.jpg,/objects/thumbs/6_2_th.jpg
dcb7,,"Indiana soda bottle J.L. Aurent & Son, Ft Wayne IN",no description,record,image/jpg,multiple,,/objects/small/7_1_sm.jpg,/objects/thumbs/7_1_th.jpg
,dcb7,,,,,,/objects/7_1.JPG,/objects/small/7_1_sm.jpg,/objects/thumbs/7_1_th.jpg
,dcb7,,,,,,/objects/7_2.JPG,/objects/small/7_2_sm.jpg,/objects/thumbs/7_2_th.jpg
dcb8,,"Indiana soda bottle J.L. Aurent & Son, Ft Wayne IN",no description,record,image/jpg,multiple,,/objects/small/8_1_sm.jpg,/objects/thumbs/8_1_th.jpg
,dcb8,,,,,,/objects/8_1.JPG,/objects/small/8_1_sm.jpg,/objects/thumbs/8_1_th.jpg
,dcb8,,,,,,/objects/8_2.JPG,/objects/small/8_2_sm.jpg,/objects/thumbs/8_2_th.jpg
dcb9,,"Indiana soda bottle J.L. Aurent & Son, Ft Wayne IN",no description,record,image/jpg,multiple,,/objects/small/9_1_sm.jpg,/objects/thumbs/9_1_th.jpg
,dcb9,,,,,,/objects/9_1.JPG,/objects/small/9_1_sm.jpg,/objects/thumbs/9_1_th.jpg
,dcb9,,,,,,/objects/9_2.JPG,/objects/small/9_2_sm.jpg,/objects/thumbs/9_2_th.jpg
dcb10,,Indiana soda bottle Chas. H Mayer & Co. Hammond,"IN, cobalt blue",record,image/jpg,multiple,,/objects/small/10_1_sm.jpg,/objects/thumbs/10_1_th.jpg
,dcb10,,,,,,/objects/10_1.JPG,/objects/small/10_1_sm.jpg,/objects/thumbs/10_1_th.jpg
,dcb10,,,,,,/objects/10_2.JPG,/objects/small/10_2_sm.jpg,/objects/thumbs/10_2_th.jpg
dcb11,,Indiana soda bottle Chas. H Mayer & Co. Hammond,"IN, aqua",record,image/jpg,multiple,,/objects/small/11_1_sm.jpg,/objects/thumbs/11_1_th.jpg
,dcb11,,,,,,/objects/11_1.JPG,/objects/small/11_1_sm.jpg,/objects/thumbs/11_1_th.jpg
,dcb11,,,,,,/objects/11_2.JPG,/objects/small/11_2_sm.jpg,/objects/thumbs/11_2_th.jpg
dcb12,,"Indiana beer bottle Berghoff Bros. Ft Wayne IN,","rare variant, chip to base rim",record,image/jpg,multiple,,/objects/small/12_1_sm.jpg,/objects/thumbs/12_1_th.jpg
,dcb12,,,,,,/objects/12_1.JPG,/objects/small/12_1_sm.jpg,/objects/thumbs/12_1_th.jpg
,dcb12,,,,,,/objects/12_2.JPG,/objects/small/12_2_sm.jpg,/objects/thumbs/12_2_th.jpg
dcb13,,"Indiana beer bottle Berghoff Bros. Ft Wayne IN,","rare variant, minor nick to top rim",record,image/jpg,multiple,,/objects/small/13_1_sm.jpg,/objects/thumbs/13_1_th.jpg
,dcb13,,,,,,/objects/13_1.JPG,/objects/small/13_1_sm.jpg,/objects/thumbs/13_1_th.jpg
,dcb13,,,,,,/objects/13_2.JPG,/objects/small/13_2_sm.jpg,/objects/thumbs/13_2_th.jpg
dcb14,,"Indiana beer bottle, extremely rare, C.L.","Centlivre Fort Wayne IN, cobalt blue, missing  top",record,image/jpg,multiple,,/objects/small/14_1_sm.jpg,/objects/thumbs/14_1_th.jpg
,dcb14,,,,,,/objects/14_1.JPG,/objects/small/14_1_sm.jpg,/objects/thumbs/14_1_th.jpg
,dcb14,,,,,,/objects/14_2.JPG,/objects/small/14_2_sm.jpg,/objects/thumbs/14_2_th.jpg
dcb15,,"Indiana soda bottle rare cobalt blue, City","Bottling Works Fort Wayne IN, chip to top",record,image/jpg,multiple,,/objects/small/15_1_sm.jpg,/objects/thumbs/15_1_th.jpg
,dcb15,,,,,,/objects/15_1.JPG,/objects/small/15_1_sm.jpg,/objects/thumbs/15_1_th.jpg
,dcb15,,,,,,/objects/15_2.JPG,/objects/small/15_2_sm.jpg,/objects/thumbs/15_2_th.jpg
dcb16,,Indiana ale bottle F.P. Hill Seymour IN,no description,record,image/jpg,multiple,,/objects/small/16_1_sm.jpg,/objects/thumbs/16_1_th.jpg
,dcb16,,,,,,/objects/16_1.JPG,/objects/small/16_1_sm.jpg,/objects/thumbs/16_1_th.jpg
,dcb16,,,,,,/objects/16_2.JPG,/objects/small/16_2_sm.jpg,/objects/thumbs/16_2_th.jpg
dcb17,,"Indiana ale bottle Frank Wrights Ale, Indianapolis",no description,record,image/jpg,multiple,,/objects/small/17_1_sm.jpg,/objects/thumbs/17_1_th.jpg
,dcb17,,,,,,/objects/17_1.JPG,/objects/small/17_1_sm.jpg,/objects/thumbs/17_1_th.jpg
,dcb17,,,,,,/objects/17_2.JPG,/objects/small/17_2_sm.jpg,/objects/thumbs/17_2_th.jpg
dcb18,,"Indiana beer bottle Crescent Brewing Company,","Aurora, IN, base rim chip",record,image/jpg,multiple,,/objects/small/18_1_sm.jpg,/objects/thumbs/18_1_th.jpg
,dcb18,,,,,,/objects/18_1.JPG,/objects/small/18_1_sm.jpg,/objects/thumbs/18_1_th.jpg
,dcb18,,,,,,/objects/18_2.JPG,/objects/small/18_2_sm.jpg,/objects/thumbs/18_2_th.jpg
dcb19,,Indiana beer bottle rare aqua A.A. Hey & Co,"Bottlers, Fort Wayne IN",record,image/jpg,multiple,,/objects/small/19_1_sm.jpg,/objects/thumbs/19_1_th.jpg
,dcb19,,,,,,/objects/19_1.JPG,/objects/small/19_1_sm.jpg,/objects/thumbs/19_1_th.jpg
,dcb19,,,,,,/objects/19_2.JPG,/objects/small/19_2_sm.jpg,/objects/thumbs/19_2_th.jpg
dcb20,,"Indiana beer bottle rare aqua, The Herman Berghoff",Brewing Co Fort Wayne IN,record,image/jpg,multiple,,/objects/small/20_1_sm.jpg,/objects/thumbs/20_1_th.jpg
,dcb20,,,,,,/objects/20_1.JPG,/objects/small/20_1_sm.jpg,/objects/thumbs/20_1_th.jpg
,dcb20,,,,,,/objects/20_2.JPG,/objects/small/20_2_sm.jpg,/objects/thumbs/20_2_th.jpg
dcb21,,"Indiana beer bottle City Steam Bottling Works,",Fort Wayne IN,record,image/jpg,multiple,,/objects/small/21_1_sm.jpg,/objects/thumbs/21_1_th.jpg
,dcb21,,,,,,/objects/21_1.JPG,/objects/small/21_1_sm.jpg,/objects/thumbs/21_1_th.jpg
,dcb21,,,,,,/objects/21_2.JPG,/objects/small/21_2_sm.jpg,/objects/thumbs/21_2_th.jpg
dcb22,,"Indiana ale bottle Renn & Felock, New Albany IN,",nick to collar,record,image/jpg,multiple,,/objects/small/22_1_sm.jpg,/objects/thumbs/22_1_th.jpg
,dcb22,,,,,,/objects/22_1.JPG,/objects/small/22_1_sm.jpg,/objects/thumbs/22_1_th.jpg
,dcb22,,,,,,/objects/22_2.JPG,/objects/small/22_2_sm.jpg,/objects/thumbs/22_2_th.jpg
dcb23,,"Indiana ale bottle V. Meier Indianapolis IN,",nick to collar,record,image/jpg,multiple,,/objects/small/23_1_sm.jpg,/objects/thumbs/23_1_th.jpg
